id,chat_sum,chat_avg,chat_word_count
R_1GCXs0KddP3VDig,443.06000000000006,2.461444444444445,180
R_3wJHGn9uugenvOx,522.95,2.563480392156863,204
R_3D74CajEZcUcIZm,202.85,2.386470588235294,85
R_3NxNmRfygjwFNmS,182.69000000000005,2.3125316455696208,79
R_2Bg36ydXY3dH2QA,396.46000000000004,2.4624844720496895,161
R_3poqNszF4mQrEqm,525.2800000000003,2.5375845410628033,207
chat is empty
R_1gU8gH0B7lklApz,103.46000000000004,2.5234146341463424,41
R_aW5AVKDVIMkqnkZ,521.89,2.485190476190476,210
R_2CPaHX1btp7vwC4,160.68000000000004,2.434545454545455,66
R_12lPO4sCjq8Kxb1,462.2299999999999,2.5679444444444437,180
R_3HHRD3M3IxcI7I1,528.3,2.5277511961722485,209
R_3j8KHNGETrvpTmE,106.98999999999998,2.547380952380952,42
R_NUTrF1mxrP1mJLb,5.54,2.77,2
R_A5JxxArXb9isjMl,50.34,2.6494736842105264,19
R_3GpurVb95pVVIiy,8.120000000000001,2.0300000000000002,4
R_2bNxPbj4SOLHahc,4.9399999999999995,2.4699999999999998,2
R_33qmXSc1nBh9xUy,53.0,2.9444444444444446,18
R_32LtShFxVvFPwk3,0,0,0
R_do2vH7obEkWwx9f,139.87000000000003,2.4538596491228075,57
R_1nUSKUHWVBxFHXe,172.98000000000002,2.745714285714286,63
R_1ITyQfAdBwKx30z,76.51000000000002,2.9426923076923086,26
R_efixyGbvwpbUpUt,340.86,2.5063235294117647,136
R_2ZJs726Su7ZOFEn,60.22,2.316153846153846,26
R_Zyid1hCC3Gz0IkF,0,0,0
R_smOOAeZxXnkbcop,501.21000000000026,2.456911764705884,204
R_2490CtSPGC7G4vE,72.95,2.4316666666666666,30
R_2wBloIFksKEkH2J,493.7000000000003,2.4200980392156874,204
R_sjt0mqNWbkRgBnH,339.5,2.425,140
R_25AejDotr444Ost,724.9599999999998,2.5891428571428565,280
R_1qTYr4l5K5RI7tY,22.240000000000002,2.224,10
R_wTtl3GgUWGhPFsZ,274.96999999999997,2.5460185185185185,108
R_3ilr0sE8PYOEccI,381.7,2.46258064516129,155
R_2ANzGdCB443hKXl,222.95999999999995,2.5336363636363632,88
R_1lhJR9t8h8OAhLz,330.96999999999997,2.565658914728682,129
R_3OdAf1t7EFshUp7,236.49000000000007,2.5158510638297877,94
R_1F4x1K4b2Fg7fgk,31.67,2.6391666666666667,12
R_3P6Id0dMdiQ5HPB,353.45,2.561231884057971,138
R_1mzxzVTf41PGAlI,128.92000000000002,2.6310204081632658,49
R_1qTYr4l5K5RI7tY,271.5100000000001,2.468272727272728,110
R_50jHwIgDnWDaiJj,240.21000000000006,2.426363636363637,99
R_3MMZaWow3OZjYrh,413.38000000000005,2.5836250000000005,160
R_1gMjyQLLLoUiktN,216.96000000000012,2.52279069767442,86
R_3MMNbxDkW72L6hE,522.8699999999998,2.4095391705069114,217
R_3sahGr5XiQgUR0i,100.17999999999999,2.5687179487179486,39
R_TqjnFy6ClyPSeaZ,310.04999999999995,2.4607142857142854,126
R_2CstOgvRJJww1ce,251.7199999999999,2.4203846153846147,104
R_b9hSzKGZOWA9Q7D,299.2400000000002,2.473057851239671,121
R_8q5DfBegRWN411L,108.65,2.2173469387755103,49
R_3oKDriuXiC8tRWw,71.05,2.368333333333333,30
R_30jBMD3DDKSA6Hi,463.28000000000003,2.6026966292134834,178
R_1mfalkRwoK62IZA,254.96999999999986,2.382897196261681,107
R_5yDPd7gmRo5olOx,464.82000000000005,2.485668449197861,187
R_2sZtWkPWN4UJ9SX,438.05999999999995,2.546860465116279,172
R_2pSRQW8nTUfonYV,211.41999999999996,2.5169047619047613,84
R_3CVCkQLYOr334U0,316.35,2.3965909090909094,132
R_1oH15JvRhFQ2PrB,402.3899999999999,2.4993167701863346,161
R_2490CtSPGC7G4vE,114.19999999999996,2.1961538461538455,52
R_dmVoh0YkWhWpRhT,472.58000000000004,2.5004232804232807,189
R_3LhcZxjxFRqXXeb,560.4999999999999,2.559360730593607,219
R_1lAHuwWHBxqLcNi,52.400000000000006,2.096,25
R_2atWJ3UzZfdVylE,325.69000000000005,2.4487969924812036,133
R_1OoWFN4KRC8NfvK,176.18,2.349066666666667,75
R_UnhFcPE66U0GiwF,368.1599999999999,2.3752258064516125,155
R_3LdMPgL521yekgo,456.4300000000001,2.535722222222223,180
R_1eFg8YZjbKGieyC,251.30000000000013,2.4881188118811894,101
R_32VEatCDf7sJ7Fu,109.92000000000002,2.4981818181818185,44
R_1nW40iwqyImppwZ,348.99,2.604402985074627,134
R_10x9Icf9fsVYdbT,194.77000000000004,2.562763157894737,76
R_0AmqXZIT2RrIOAN,737.7599999999994,2.5705923344947714,287
R_1F8mdZZmDBSGwVM,363.5200000000001,2.578156028368795,141
R_PusAGNzLE9oTh85,105.94000000000001,2.4637209302325584,43
R_2uKSKzRCjNOLlZH,117.23000000000002,2.442291666666667,48
R_1d5AwCIMnSuPyIC,330.50000000000006,2.5423076923076926,130
R_12lPO4sCjq8Kxb1,347.2300000000003,2.4113194444444463,144
R_3smHlYXDgyeyYCn,416.93000000000023,2.424011627906978,172
R_3PaxDg5iEqwebTH,361.9300000000002,2.4960689655172428,145
R_1LGuBYKSSmuYncu,237.67,2.670449438202247,89
R_28HBiaI2wQG4OMS,219.25999999999993,2.4915909090909083,88
R_sZRozAKtKR79t5L,298.91,2.599217391304348,115
R_3lW7bAyL6v0qDek,216.16000000000008,2.573333333333334,84
R_1GPtcUXWTH1uDwt,303.1100000000003,2.484508196721314,122
R_3qWfNET8ETHuoCW,468.52000000000004,2.4921276595744684,188
R_1pMbilLGsSU8afP,147.58999999999997,2.3804838709677414,62
R_9tnXdy9ugCRHUu5,187.65000000000003,2.5020000000000007,75
R_u4SyiaqJIjrl4hb,337.76,2.70208,125
R_ZCeL0yvINDjJnMZ,89.12000000000002,2.6211764705882357,34
R_4GYMnyWa8pAz89b,372.63000000000005,2.5877083333333335,144
R_1oHYEKNa2lYkaJk,106.51,2.66275,40
R_RRKVKIBQsrqMtWx,69.96,2.498571428571428,28
R_a2EWjixBDOuUQTv,104.52000000000002,2.6130000000000004,40
R_2ZU28gnNRYGJNbz,422.29,2.528682634730539,167
R_z28iHGthxTMf4Zz,139.02000000000004,2.3968965517241387,58
R_eLnLBeCzDEdytEZ,301.96000000000015,2.4955371900826457,121
R_1Ihk2RdS9uQRHNS,642.2699999999996,2.4702692307692296,260
R_3ltp27y9srNFEro,6.41,2.1366666666666667,3
R_rpVRImtndN7B6md,274.29000000000013,2.5164220183486252,109
R_bvzmJ91SuWIE8al,95.75000000000003,2.816176470588236,34
R_2SqbdxSskUh6E2T,161.78000000000006,2.6521311475409846,61
R_2w5EUBiIVFruoF5,186.58000000000004,2.665428571428572,70
R_1OlfVENG7y9mfLR,4.91,2.455,2
R_zdJUn9uuZ3NArlf,308.2900000000001,2.590672268907564,119
R_3h61MEU8Vyp5Jid,408.11000000000007,2.6500649350649357,154
R_1OpgHPTedRrmvaT,451.09999999999985,2.465027322404371,183
R_3MMDynDI5DPa5sD,162.23000000000002,2.3857352941176475,68
R_PBeio8mQTOTXdJL,181.83999999999995,2.490958904109588,73
R_b1LXRqAdBZvWUGl,251.48,2.286181818181818,110
R_10YRUIOZl8Odkme,478.09,2.464381443298969,194
R_1EhTVpo5tzDeWnL,351.4200000000001,2.457482517482518,143
R_2YDF7IUPMMj942C,492.1300000000001,2.5237435897435905,195
R_1pMbilLGsSU8afP,71.86999999999999,2.764230769230769,26
R_2zihdBE07ajUXVl,156.76000000000002,2.569836065573771,61
R_3HHPUFKmrErawZU,83.65,2.460294117647059,34
R_1JJdg9vUl8scZbu,494.99,2.618994708994709,189
R_2dWKTtkqgWuwwey,280.69000000000017,2.483982300884957,113
R_pNaHziG6EclHGlH,0,0,0
R_1DC4sNa4B5UzQRy,408.1600000000001,2.633290322580646,155
R_3iqx9hrVaHTTEvs,186.3499999999999,2.3006172839506163,81
R_2ahirQl0V8hzOLY,223.35999999999999,2.5096629213483146,89
R_vDNV3JadzxUF18l,0,0,0
R_2rSMqfpBTL6Htnf,22.4,2.8,8
R_qw66GuGsrtLlJy9,209.38000000000014,2.52265060240964,83
R_2wjACGmUi3tpRVD,262.3400000000001,2.676938775510205,98
R_2wG3NcJgCOLwv1E,0,0,0
R_8qvEBpKdw13d9Bv,0,0,0
R_8uDkvFEcK9XlTpf,458.01999999999987,2.5876836158192082,177
R_1o5qOYAeNc33CJL,556.3699999999998,2.6620574162679413,209
R_1gvIzBaupqjNp7P,14.24,2.0342857142857143,7
R_2wG3NcJgCOLwv1E,32.53999999999999,2.5030769230769225,13
R_2rSMqfpBTL6Htnf,50.33,2.5164999999999997,20
R_3G9fw69jZNdaVJU,289.2300000000001,2.4720512820512828,117
R_2wG3NcJgCOLwv1E,300.7700000000002,2.592844827586209,116
R_2YkT6u5VDbkRBcd,179.67000000000004,2.642205882352942,68
R_2BtDSdJybW4Ra2A,211.44000000000005,2.4027272727272733,88
R_2zihdBE07ajUXVl,364.8700000000001,2.5163448275862077,145
R_3MGXOX1yuCcAv18,75.97,2.5323333333333333,30
R_3EKZyimQpsOzBWB,158.98999999999995,2.2392957746478865,71
R_5iGn0DBPwGuUHq9,109.38000000000002,2.430666666666667,45
R_21cZaGk2gUPmpdw,0,0,0
R_2zhCewtEA7291aS,208.72999999999988,2.319222222222221,90
R_1hAaB03Z40Ky83W,505.0800000000003,2.488078817733992,203
R_3I5XKqw88qhtPwW,326.5199999999999,2.5509374999999994,128
R_3mfVxz6yBYJCRXE,952.8599999999993,2.507526315789472,380
R_2V7uMe7xwyhhbqZ,455.5499999999999,2.5737288135593213,177
R_3EumSDSCq10zgTv,457.98000000000013,2.4755675675675684,185
R_3MGXOX1yuCcAv18,16.630000000000003,2.375714285714286,7
R_1g7wme4FIH3pgsT,40.72999999999999,2.5456249999999994,16
R_2sSen2ANw2KbdV6,0,0,0
R_10qQINgA6Rxi4zv,107.89000000000001,2.1154901960784316,51
R_pNaHziG6EclHGlH,349.0700000000001,2.374625850340137,147
R_1JEku21xGtJDJXs,300.57,2.707837837837838,111
R_1jlDR1NbmAJ0LJf,287.0700000000001,2.5862162162162172,111
R_3PAgSxZWpluIyQZ,502.10999999999984,2.6016062176165793,193
R_333ZB3efvTu2ilF,316.98999999999984,2.3655970149253718,134
R_1ONz8y2QtRgryO9,402.27000000000015,2.4679141104294486,163
R_z8vrAaGrOn7BkM9,382.4900000000001,2.516381578947369,152
R_1dozPJB5o71bMUf,295.2400000000001,2.567304347826088,115
R_e4KlnY5IXZRNBol,190.8300000000001,2.446538461538463,78
R_3HSy2LikS5qx9Ko,331.9499999999999,2.533969465648854,131
R_2Se7iPAHblvLecj,689.0799999999996,2.6812451361867686,257
R_2tzIUNo7spq7vSR,114.68000000000002,2.4400000000000004,47
R_3nT8DnuynFppJjX,64.35000000000001,2.6812500000000004,24
